names,scores,logfoldchanges,pvals,pvals_adj
GJB6,31.4285,20.074123,8.257852506607772e-217,1.5689919762554768e-215
CA1,31.4285,19.841017,8.257852506607772e-217,1.5689919762554768e-215
SLC6A4,31.333117,-0.59902155,1.6523597266262442e-215,2.568668302300798e-214
NME8,31.237734,-1.7455522,3.276385204415195e-214,4.15008792559258e-213
MATR3,31.142353,-0.2562355,6.437810819069397e-213,6.475680294475688e-212
F2RL1,31.142353,-3.1047912,6.437810819069397e-213,6.475680294475688e-212
WNT10A,31.04697,-1.5484545,1.2535290090147685e-211,1.0717673027076271e-210
LDHC,31.04697,-2.5565128,1.2535290090147685e-211,1.0717673027076271e-210
PRF1,30.951588,-4.429991,2.418708417561043e-210,1.9237169274555275e-209
EPHA1,30.951588,-2.8787897,2.418708417561043e-210,1.9237169274555275e-209
MAGEE1,30.856205,-3.905841,4.624721844794956e-209,3.514788602044167e-208
CD8A,30.760822,-2.2373571,8.762755966155108e-208,5.876201059656955e-207
IDO1,30.760822,-1.0021796,8.762755966155108e-208,5.876201059656955e-207
TNFRSF10A,30.570057,-2.8452373,3.0613290776537964e-205,1.975423668976601e-204
KIT,30.474676,-3.7030482,5.644484275590645e-204,3.447167182592858e-203
CAMK4,30.379293,-3.2567384,1.0313156799121933e-202,5.978134958135087e-202
PRKCQ,30.28391,-2.4249256,1.8672914241125226e-201,1.0469076508958734e-200
ABCG2,30.093145,-5.0839906,5.956793698854347e-199,3.0867021894063436e-198
XK,30.093145,-4.3505516,5.956793698854347e-199,3.0867021894063436e-198
GATA2,29.997763,-4.8739076,1.0495245176920514e-197,5.357274403741516e-197
PLS1,29.902382,-5.0776024,1.8324235067788515e-196,9.216012342917165e-196
ATP8A2,29.711617,-4.5861306,5.43565904829112e-194,2.6557077064508045e-193
CBS,29.616234,-5.341274,9.235179722134456e-193,4.268150628337816e-192
RPL39L,29.425468,-6.221136,2.594129875423466e-190,1.1374261761472121e-189
CHRNA1,29.139322,-4.9979386,1.140806239059553e-186,4.484548663889277e-186
CLDN5,29.139322,-5.3962727,1.140806239059553e-186,4.484548663889277e-186
CX3CR1,29.139322,-6.091639,1.140806239059553e-186,4.484548663889277e-186
ESAM,28.853174,-6.1219325,4.622889623945422e-183,1.7566980570992604e-182
FLT1,28.853174,-6.072446,4.622889623945422e-183,1.7566980570992604e-182
CDKN2A,28.66241,-5.9055705,1.122834722988675e-180,4.129134142603514e-180
ABCB1,28.567028,-6.14184,1.7262251848558815e-179,6.214410665481173e-179
CXCL11,28.090115,-5.393552,1.2936338945419105e-173,4.254065307051283e-173
IPCEF1,27.803968,-5.1335845,3.884057267145284e-170,1.2414463414613897e-169
IL18,27.708586,-5.7903686,5.502392318086148e-169,1.7264386906288647e-168
ADRB2,27.613203,-6.753074,7.724519276690579e-168,2.358737136275159e-167
CD40,27.51782,-4.6115828,1.074596414311062e-166,3.2523183512777275e-166
IL10,27.42244,-5.7968454,1.4814034950710866e-165,4.44421048521326e-165
CCL5,26.850143,-7.349266,8.401916405033388e-159,2.336142610180015e-158
TNF,26.754763,-6.0547724,1.0868903225641945e-157,2.973731922535636e-157
HPGDS,26.182468,-6.9231763,4.208938926915939e-151,1.1158582271358535e-150
SNCA,26.087086,-5.1561556,5.109298373791059e-150,1.3338778960584293e-149
ITGB3,25.800938,-7.238117,8.654762217916913e-147,2.1925397618722846e-146
IL4R,25.800938,-5.695809,8.654762217916913e-147,2.1925397618722846e-146
NOG,25.419409,-7.010758,1.5389120105030012e-142,3.8699110852354885e-142
ITPR3,25.037878,-6.244634,2.3661996789722732e-138,5.821872591428183e-138
STAMBPL1,25.037878,-6.7352643,2.3661996789722732e-138,5.821872591428183e-138
ABCA7,24.847115,-6.2340612,2.778438038528953e-136,6.644935728509804e-136
AMIGO1,24.847115,-7.0042253,2.778438038528953e-136,6.644935728509804e-136
CYBB,24.65635,-5.455086,3.14608821557627e-134,7.471959511993641e-134
USP21,24.560966,-6.6180797,3.302470356622812e-133,7.735923712089053e-133
MKI67,24.084055,-9.293882,3.672911895049751e-128,8.430442067832313e-128
SLA,24.084055,-7.8460107,3.672911895049751e-128,8.430442067832313e-128
MGMT,23.89329,-7.285225,3.596400938380875e-126,8.199794139508396e-126
EFNA5,23.607143,-7.126725,3.255161652199339e-123,7.372617781802476e-123
CASP8,23.225613,-5.922372,2.5097351827634745e-119,5.53760924196844e-119
