names,scores,logfoldchanges,pvals,pvals_adj
CA1,41.794144,20.195387,0.0,0.0
NME8,41.722393,0.48002174,0.0,0.0
SLC6A4,41.722393,0.47629458,0.0,0.0
EPHA1,41.650642,-0.4524196,0.0,0.0
IDO1,41.650642,1.8695279,0.0,0.0
MATR3,41.57889,0.63979006,0.0,0.0
GJB6,41.435394,-1.4608496,0.0,0.0
PRKCQ,41.435394,-0.45206466,0.0,0.0
LDHC,41.363644,-1.9834871,0.0,0.0
TNFRSF10A,41.363644,-1.6936048,0.0,0.0
WNT10A,41.291897,-2.3378403,0.0,0.0
CD8A,41.291897,-1.1017082,0.0,0.0
F2RL1,41.291897,-3.2342927,0.0,0.0
PRF1,41.220146,-3.2113447,0.0,0.0
MAGEE1,41.220146,-3.3365366,0.0,0.0
KIT,41.148396,-2.2773886,0.0,0.0
XK,41.076645,-2.690909,0.0,0.0
CAMK4,41.004898,-1.8314518,0.0,0.0
RPL39L,40.933147,-3.3948286,0.0,0.0
GATA2,40.861397,-3.8506753,0.0,0.0
ABCG2,40.861397,-4.8312836,0.0,0.0
PLS1,40.789646,-3.4020598,0.0,0.0
CXCL11,40.64615,-3.2431698,0.0,0.0
ATP8A2,40.574398,-3.3970952,0.0,0.0
CX3CR1,40.2874,-4.419067,0.0,0.0
IL18,40.215652,-3.7784185,0.0,0.0
FLT1,40.1439,-5.6812954,0.0,0.0
ADRB2,40.1439,-4.8115716,0.0,0.0
IPCEF1,40.0004,-3.4496357,0.0,0.0
IL10,40.0004,-3.6017935,0.0,0.0
CDKN2A,39.856903,-5.3705893,0.0,0.0
CLDN5,39.785152,-8.803315,0.0,0.0
CBS,39.569904,-5.081795,0.0,0.0
ESAM,39.498154,-6.4749646,0.0,0.0
TNF,39.354656,-4.0386734,0.0,0.0
CD40,39.282906,-3.601717,0.0,0.0
CCL5,39.282906,-6.0102987,0.0,0.0
HPGDS,39.211155,-5.353174,0.0,0.0
IL4R,38.85241,-4.2797823,0.0,0.0
ABCB1,38.78066,-6.247273,0.0,0.0
CHRNA1,38.63716,-5.429335,0.0,0.0
STAMBPL1,38.350163,-4.7912116,0.0,0.0
SNCA,37.991413,-4.1502852,0.0,0.0
EFNA5,37.776165,-5.2902074,0.0,0.0
CYBB,37.05867,-4.6709538,1.3021923286608567e-300,5.783763329896273e-300
SLA,37.05867,-6.0101724,1.3021923286608567e-300,5.783763329896273e-300
AMIGO1,36.98692,-5.2978435,1.858500503589468e-299,8.04566040794428e-299
MGMT,36.98692,-5.7853174,1.858500503589468e-299,8.04566040794428e-299
SLC4A10,36.69992,-5.3662267,7.32439433233543e-295,3.092522051430515e-294
ABCA7,36.556423,-5.371426,1.4098458295396606e-292,5.74008659169719e-292
CASP8,36.197674,-4.879046,6.62330907850969e-287,2.664907888059193e-286
NOG,35.767178,-6.043605,3.577959923196144e-280,1.3749014536326756e-279
OLR1,35.336678,-7.138186,1.606096145624607e-273,6.036097602237534e-273
TNFSF10,35.12143,-5.6215405,3.1745407492907838e-270,1.154992485380264e-269
PDGFRB,35.04968,-7.616759,3.9432059359437714e-269,1.4047671146799687e-268
ITPR3,35.04968,-5.7468414,3.9432059359437714e-269,1.4047671146799687e-268
CDC6,34.90618,-6.743194,5.990799080270152e-267,2.1122198819096822e-266
MKI67,33.973434,-8.750189,5.499323711484758e-253,1.8997663730583707e-252
EDN1,33.901688,-7.4686513,6.291232361610025e-252,2.1516014676706287e-251
ITGB3,33.829937,-7.287152,7.160252735521014e-251,2.4245608272754323e-250
USP21,33.61469,-6.027794,1.0235367059989008e-247,3.398539353899263e-247
LAMA2,33.471188,-6.2962966,1.2658567002833219e-245,4.123076109494248e-245
TAF4B,32.753693,-6.230473,2.690082653198266e-235,8.363711521761883e-235
IL6,32.107944,-7.055752,3.415300539098007e-226,1.0336573313022287e-225
SPI1,32.036198,-5.3222075,3.4180544382458364e-225,1.0164996677218053e-224
CD14,31.533949,-8.499022,2.976387678264011e-218,8.700210136464032e-218
PRKCE,31.175201,-7.072236,2.3108022811827383e-213,6.697410001394039e-213
IDE,31.031702,-6.733287,2.0144559897500403e-211,5.741199570787615e-211
GPRASP1,30.457705,-7.1452737,9.471110765292929e-204,2.612193453008211e-203
MAL,30.242456,-6.9294515,6.556037357728859e-201,1.7794958542406902e-200
CCND1,30.170708,-7.3861165,5.740128249850186e-200,1.5457668200383967e-199
RASGRP1,29.668459,-5.7352834,1.960427560464678e-193,5.238017388116562e-193
IL1B,29.45321,-9.617223,1.1452313747464628e-190,3.0128394627945407e-190
ANGPT2,28.520466,-7.6970887,6.53125111124308e-179,1.654583614848247e-178
CENPJ,28.448717,-7.7873936,5.054526568582411e-178,1.2710647694523417e-177
ADARB1,28.305218,-6.9359736,2.9809155838975704e-176,7.441409705788095e-176
PLA2G6,27.87472,-7.635588,5.404632670594603e-171,1.3297729304628447e-170
