names,scores,logfoldchanges,pvals,pvals_adj
TRIM37,34.81619,-7.63066,1.383744874192825e-265,3.479711374808428e-265
ABAT,34.81619,-7.550134,1.383744874192825e-265,3.479711374808428e-265
FAS,34.679924,-5.764145,1.5817757218225021e-263,3.948666400462013e-263
MNAT1,34.61179,-7.895743,1.6794525705453714e-262,4.162121587873312e-262
CLCN6,34.339256,-6.6920595,2.0375826526090912e-258,5.013332857498627e-258
CEP135,34.202988,-5.308386,2.1827437658857447e-256,5.332131199520891e-256
TGFB2,33.862324,-8.492377,2.3903996159049836e-251,5.797990557726981e-251
NELFA,33.45352,-6.2958875,2.287491013992359e-245,5.470782704792915e-245
PPP3CC,33.385387,-6.396022,2.234211101011475e-244,5.2696565279029274e-244
CA2,33.18099,-6.51254,2.0245711884480077e-241,4.742488674309717e-241
CERS4,33.04472,-6.3962374,1.8523983033670005e-239,4.309661358853838e-239
TNFSF10,32.772186,-5.4500685,1.4667844870675198e-235,3.344268630513945e-235
SLC2A1,32.772186,-9.850095,1.4667844870675198e-235,3.344268630513945e-235
MSH6,32.704052,-7.6131077,1.367693462808433e-234,3.0976898296720803e-234
SYNJ1,32.499653,-5.971913,1.0783780384075888e-231,2.4263505864170748e-231
NEK1,32.158985,-8.221888,6.613908711240447e-227,1.459326954351118e-226
CCL5,32.158985,-7.2112885,6.613908711240447e-227,1.459326954351118e-226
TFAM,31.682053,-6.643751,2.745535338755834e-220,5.980720292066848e-220
CASP9,31.682053,-7.4820137,2.745535338755834e-220,5.980720292066848e-220
FXN,31.613918,-7.5665684,2.3769682447549077e-219,5.145083162697332e-219
EFHC1,31.545786,-8.930958,2.048357043084297e-218,4.405900054936035e-218
OPTN,31.477652,-6.964705,1.757008594148679e-217,3.732279125458684e-217
CSF1,31.477652,-7.935249,1.757008594148679e-217,3.732279125458684e-217
SPAG4,31.409517,-8.978589,1.500127136698252e-216,3.166935066362976e-216
SRGAP3,31.205118,-8.697168,9.080430340785844e-214,1.9052191267170298e-213
POMGNT1,30.66005,-9.497411,1.941331268349165e-206,3.9756604417689485e-206
ORC4,30.66005,-7.3361893,1.941331268349165e-206,3.9756604417689485e-206
DDX23,30.45565,-8.508269,1.0083630093483973e-203,2.0527389833163803e-203
