names,scores,logfoldchanges,pvals,pvals_adj
CA1,41.740273,20.194626,0.0,0.0
GJB6,41.66843,1.0582653,0.0,0.0
NME8,41.59659,-0.44482878,0.0,0.0
MATR3,41.524746,0.6375044,0.0,0.0
CX3CR1,41.524746,-1.5206792,0.0,0.0
XK,41.524746,-0.58451766,0.0,0.0
IDO1,41.524746,1.2915857,0.0,0.0
SLC6A4,41.452904,-1.5466375,0.0,0.0
CD8A,41.30922,-1.7694905,0.0,0.0
EPHA1,41.30922,-2.5211382,0.0,0.0
KIT,41.30922,-2.2450042,0.0,0.0
MAGEE1,41.237377,-2.979251,0.0,0.0
PLS1,41.165535,-2.3406184,0.0,0.0
LDHC,41.165535,-2.649845,0.0,0.0
CXCL11,41.093693,-1.2424997,0.0,0.0
WNT10A,41.02185,-2.5268066,0.0,0.0
PRKCQ,41.02185,-1.6249413,0.0,0.0
CAMK4,40.878166,-1.8021414,0.0,0.0
F2RL1,40.73448,-4.224651,0.0,0.0
TNFRSF10A,40.73448,-3.253592,0.0,0.0
ATP8A2,40.66264,-3.2978332,0.0,0.0
CBS,40.590797,-3.9894743,0.0,0.0
GATA2,40.30343,-4.400105,0.0,0.0
SLC4A10,40.30343,-3.2918396,0.0,0.0
IPCEF1,40.231586,-3.0528102,0.0,0.0
IL18,40.159744,-3.3093584,0.0,0.0
ABCG2,40.087902,-7.0842156,0.0,0.0
CLDN5,40.01606,-9.268,0.0,0.0
STAMBPL1,39.944218,-3.8419778,0.0,0.0
CHRNA1,39.800533,-4.831189,0.0,0.0
HPGDS,39.800533,-4.7685394,0.0,0.0
ABCA7,39.72869,-4.121382,0.0,0.0
AMIGO1,39.65685,-4.013207,0.0,0.0
IL10,39.153957,-4.2759085,0.0,0.0
PRF1,39.082115,-7.433204,0.0,0.0
CDKN2A,38.722904,-5.5530276,0.0,0.0
ADRB2,38.507378,-5.2543435,0.0,0.0
TNFSF10,38.435535,-5.054672,0.0,0.0
ABCB1,38.363693,-6.6751637,0.0,0.0
CCL5,38.29185,-5.337213,0.0,0.0
NOG,38.004482,-5.2145085,0.0,0.0
SNCA,38.004482,-4.1234355,0.0,0.0
CASP8,37.93264,-4.3947725,0.0,0.0
EDN1,37.860798,-6.3713226,0.0,0.0
RPL39L,37.717113,-5.8992853,0.0,0.0
ITGB3,37.57343,-6.063289,5.83986596611801e-309,4.160904500859083e-308
FLT1,36.99869,-7.8599324,1.201927839128753e-299,7.904986941962184e-299
RASGRP1,36.99869,-4.322939,1.201927839128753e-299,7.904986941962184e-299
ESAM,36.99869,-8.448808,1.201927839128753e-299,7.904986941962184e-299
EFNA5,36.711323,-5.5057635,4.817909120012284e-295,3.1089149415928327e-294
ITPR3,36.35211,-5.4500504,2.4332513523296983e-289,1.541059189808809e-288
CYBB,36.208427,-4.342915,4.485795344634685e-287,2.7893491052092043e-286
CD40,35.92106,-5.614292,1.4330675414570233e-282,8.751948199612536e-282
USP21,35.777374,-5.4697533,2.483370337743193e-280,1.4900222026459158e-279
LAMA2,35.633694,-7.314471,4.21557880068219e-278,2.485737844540188e-277
TNF,35.49001,-6.6736813,7.009933254083425e-276,4.0633850388076806e-275
GPRASP1,34.84343,-6.2385864,5.3542935525988585e-266,2.953497411272274e-265
PDGFRB,34.84343,-9.347957,5.3542935525988585e-266,2.953497411272274e-265
IL6,34.627903,-8.088622,9.609859860851586e-263,5.135268863142567e-262
TAF4B,34.627903,-5.6692867,9.609859860851586e-263,5.135268863142567e-262
ADARB1,34.48422,-5.936885,1.3831267907352298e-260,7.277374806637671e-260
IDE,34.125008,-5.989888,3.1407307155033207e-255,1.6274695525789936e-254
PRKCE,33.83764,-6.7357616,5.5163616890175496e-251,2.7744054377117677e-250
CDC6,33.693954,-6.8476686,7.088042003652201e-249,3.513203427897178e-248
PLA2G6,33.622112,-6.7889423,7.972668726253051e-248,3.8952181491122054e-247
LSR,33.406586,-6.507809,1.1000154306438747e-244,5.2250732955584054e-244
GPD1L,33.406586,-6.298769,1.1000154306438747e-244,5.2250732955584054e-244
MAL,33.334743,-6.850128,1.2120431308667407e-243,5.678339051457881e-243
SLA,33.2629,-6.7603874,1.3286110444651227e-242,6.140337529825297e-242
PTK2B,33.119217,-6.0816975,1.5719506941117376e-240,7.168095165149524e-240
MKS1,32.975533,-6.167273,1.8218894942281018e-238,8.092028662675465e-238
TBP,32.975533,-6.000897,1.8218894942281018e-238,8.092028662675465e-238
TGFBR2,32.760006,-5.930336,2.1870096432122642e-235,9.46781389846322e-235
MFSD8,32.760006,-5.968101,2.1870096432122642e-235,9.46781389846322e-235
LRRC61,32.688164,-6.7319493,2.3004600146645543e-234,9.83446656269097e-234
MGMT,32.61632,-7.7304516,2.407350056000844e-233,1.0040411209174253e-232
IL4R,32.61632,-6.468767,2.407350056000844e-233,1.0040411209174253e-232
NEO1,32.472637,-6.6937222,2.595793232704906e-231,1.0695919103434673e-230
CAMK2G,32.113426,-6.9969068,2.863569818346408e-226,1.1521657386758489e-225
MKI67,31.897902,-8.82459,2.8550781614494715e-223,1.1223410703628956e-222
CLCN6,31.897902,-6.2923703,2.8550781614494715e-223,1.1223410703628956e-222
AP4S1,31.754217,-6.4485674,2.7769079741056054e-221,1.079207417209224e-220
LCLAT1,31.682375,-7.0544133,2.7175294569184356e-220,1.044264128388882e-219
PRRT2,31.610533,-6.6915827,2.645743470998395e-219,1.0053825189793901e-218
ERBB2,31.53869,-7.06043,2.5626064551298693e-218,9.630894589608958e-218
ANGPT2,31.251322,-8.789761,2.1420319769666226e-214,7.962771044810707e-214
FKTN,31.17948,-6.2902765,2.0219193827573502e-213,7.435445472075416e-213
FAS,31.107637,-6.4203277,1.8987268551487135e-212,6.908133877243192e-212
NPHP1,30.748428,-6.869431,1.2834168204009208e-207,4.5721724226782805e-207
OXTR,30.46106,-7.450875,8.550409181308835e-204,3.014680350523321e-203
CLDN15,30.389217,-6.4445963,7.625948435452362e-203,2.6613003723721512e-202
NQO1,30.17369,-6.8533916,5.245418668849328e-200,1.8120537219661316e-199
OLR1,30.101849,-7.000661,4.582798462170542e-199,1.5673170740623257e-198
SARM1,30.030006,-6.6724663,3.98329340638404e-198,1.3226081019255745e-197
CASP9,30.030006,-6.3940797,3.98329340638404e-198,1.3226081019255745e-197
UGT8,30.030006,-7.5681534,3.98329340638404e-198,1.3226081019255745e-197
GNB5,29.598953,-6.9944916,1.5413166876586203e-192,5.068560645954309e-192
CENPJ,29.024218,-7.2524,3.2561844227306055e-185,1.0407617500690346e-184
NELL2,29.024218,-6.9452915,3.2561844227306055e-185,1.0407617500690346e-184
DHCR7,28.736849,-7.408361,1.3224646656470736e-181,4.038240318315171e-181
MTA2,28.736849,-7.084386,1.3224646656470736e-181,4.038240318315171e-181
MUTYH,28.736849,-6.8059163,1.3224646656470736e-181,4.038240318315171e-181
KCND3,28.521322,-7.4783773,6.373568827690398e-179,1.9289916274956778e-178
GALC,28.305796,-6.8498564,2.9324608527447435e-176,8.720883579466976e-176
FANCF,28.305796,-6.7155128,2.9324608527447435e-176,8.720883579466976e-176
SYNJ1,28.162111,-6.301997,1.7032230029480257e-174,5.021571267312283e-174
BRMS1L,28.09027,-7.3182836,1.2880510616955125e-173,3.7650723341868824e-173
SPI1,28.018427,-5.8453116,9.690717769882819e-173,2.8086656587287495e-172
FIG4,27.946585,-6.2711563,7.253374895421276e-172,2.0845833733059467e-171
CLN8,27.731058,-6.181362,2.948904384982537e-169,8.26660081691826e-169
IKBKB,27.515532,-6.5987186,1.1445469438256456e-166,3.182398819417649e-166
ARHGEF10,27.44369,-7.8645034,8.263183512976398e-166,2.2790393237402647e-165
INPP4A,27.371847,-6.7477264,5.935025900526022e-165,1.610935601571349e-164
AP3M2,27.371847,-6.1877956,5.935025900526022e-165,1.610935601571349e-164
BCL2,27.08448,-6.9027615,1.5001619270414083e-161,4.008245148813763e-161
FXN,26.868954,-7.0579734,5.066063055095029e-159,1.3430957866996124e-158
TMEM67,26.797112,-6.8409586,3.4917073636885714e-158,9.185876295242243e-158
TMEM216,26.581585,-7.0061216,1.1084321235351408e-155,2.8937693606795278e-155
CD14,26.509743,-8.103131,7.483810025452516e-155,1.938987142958152e-154
EPHA4,26.4379,-7.917574,5.0268745617590686e-154,1.2829784329265683e-153
DLAT,26.006847,-6.8695197,4.143289444406904e-149,1.0496333259164157e-148
RAB39B,25.935005,-7.839645,2.6844328963236418e-148,6.750559195166805e-148
SPAG4,25.43211,-8.244048,1.1136134413099211e-142,2.7799693206422848e-142
