names,scores,logfoldchanges,pvals,pvals_adj
RAD23B,-1.8046095,-8.558255,0.07113581315910672,0.07349984320366917
PPT1,-1.8905432,-8.82227,0.058685339597572,0.06081935194657462
EIF2S1,-2.0624108,-8.289525,0.03916863840952549,0.041091025570729196
RING1,-2.2342784,-9.033702,0.02546476019716746,0.026796763038250064
PRKRA,-3.0076826,-9.155738,0.002632480342065783,0.0027873321268931817
NF1,-3.5232852,-9.215588,0.00042623246662251544,0.0004541168335978202
EGLN1,-3.5232852,-10.882039,0.00042623246662251544,0.0004541168335978202
SOD2,-5.7575636,-10.364501,8.533662828233182e-09,9.26511964208174e-09
CSF1,-5.7575636,-9.385915,8.533662828233182e-09,9.26511964208174e-09
SNCA,-5.929431,-8.963561,3.039859257707545e-09,3.3321534171025016e-09
POMGNT1,-6.1872325,-11.300987,6.122962094267992e-10,6.776870667442244e-10
BMI1,-6.273166,-9.561077,3.5377869250836415e-10,3.9411176820150015e-10
NAGLU,-6.445034,-10.529601,1.1557460629092295e-10,1.2959513229998574e-10
LGALS3,-6.445034,-10.345656,1.1557460629092295e-10,1.2959513229998574e-10
ERCC1,-6.6169014,-10.481907,3.668058811950106e-11,4.153894416181908e-11
APEX1,-7.562173,-10.228711,3.9639046947285774e-14,4.579916910801262e-14
TARDBP,-7.905908,-9.437749,2.6598712584248248e-15,3.12603426247866e-15
CHMP2B,-8.16371,-9.625328,3.2488953603790274e-16,3.8314559077573355e-16
BCAS2,-8.249643,-9.258178,1.588679375443955e-16,1.8800288802831577e-16
MEAF6,-8.593378,-8.341245,8.44487904563809e-18,1.0133854854765708e-17
CAMK2D,-8.85118,-11.11928,8.659888020911402e-19,1.042845670123838e-18
PARP1,-9.108981,-9.929595,8.315918644051631e-20,1.0157300629520207e-19
KIF3A,-9.2808485,-10.538679,1.6813379954238526e-20,2.068408613075387e-20
GNAI3,-9.624584,-9.145335,6.296122336576268e-22,7.830086687669395e-22
IDH2,-9.624584,-9.657515,6.296122336576268e-22,7.830086687669395e-22
POLR2K,-10.312055,-8.590373,6.215829674546181e-25,7.873384254425162e-25
STXBP3,-10.483922,-9.427158,1.0240706632407755e-25,1.3117309619039146e-25
NR3C1,-10.741723,-8.8588705,6.482307191811069e-27,8.42946410494063e-27
ZNF24,-10.741723,-8.574775,6.482307191811069e-27,8.42946410494063e-27
NEO1,-10.827657,-11.0888195,2.5458652463151753e-27,3.3487919778453465e-27
ADAM10,-11.085458,-9.940501,1.475927333141712e-28,1.9640745055815776e-28
BACE2,-11.085458,-11.463383,1.475927333141712e-28,1.9640745055815776e-28
DNAJA2,-11.34326,-9.537939,8.010411828678228e-30,1.087127319606331e-29
APOE,-11.4291935,-27.81833,2.988721216050244e-30,4.088570623556734e-30
CDKN1B,-11.4291935,-8.700633,2.988721216050244e-30,4.088570623556734e-30
RCAN1,-12.374465,-11.933219,3.5928017944655294e-35,5.141164074088749e-35
KCND3,-12.546332,-12.295514,4.16350754236985e-36,5.982855376010457e-36
ATRX,-13.491604,-10.1968775,1.7524542885958707e-41,2.5833593392232234e-41
LSM2,-14.52281,-10.121163,8.6875088800734e-48,1.2974358240109619e-47
PRKACB,-14.52281,-11.73675,8.6875088800734e-48,1.2974358240109619e-47
HSPB1,-14.952478,-22.521845,1.5005845499987707e-50,2.2707960889361927e-50
PNKD,-15.554015,-10.970935,1.49436437413581e-54,2.3230573452474866e-54
OPTN,-15.811816,-10.213288,2.5792187267500376e-56,4.0462972685711596e-56
TMEM106B,-15.89775,-10.557179,6.568150668257692e-57,1.035164759697756e-56
HSPA6,-16.241486,-52.22438,2.566342117713907e-59,4.101350487187645e-59
UBE2N,-16.843021,-10.760562,1.1805096969455095e-63,1.9410303670930975e-63
PPP2CA,-16.928955,-9.991329,2.7521996866553423e-64,4.5691858875540144e-64
ATP6V0E2,-17.874228,-11.52241,1.8725188574992285e-71,3.2020072463236807e-71
SF3B2,-18.046095,-10.587495,8.466984697293313e-73,1.4551300334041775e-72
ENO2,-18.991367,-13.335813,2.0102879411564222e-80,3.525735773720494e-80
CSTB,-19.678837,-10.596383,3.27431722402624e-86,5.8021579824713686e-86
LSM7,-19.850704,-11.63294,1.0866718068429528e-87,1.9356341559390097e-87
NFKBIA,-20.022572,-14.176116,3.5017063738655676e-89,6.270071098754053e-89
XBP1,-20.366306,-11.390042,3.3285207856616255e-92,6.055075046256787e-92
MAL,-21.053778,-14.002697,2.11161935934995e-98,3.9679880269103454e-98
TMEM230,-21.139711,-10.824066,3.431721103028133e-99,6.4842465040642065e-99
NCL,-21.56938,-10.84798,3.483312046968888e-103,6.730467344990733e-103
APBB1,-21.655313,-12.61432,5.416114085646901e-104,1.0524494416427501e-103
CYP27A1,-22.256851,-11.551859,9.681512256486995e-110,1.936302451297399e-109
CERS4,-22.600586,-12.054792,4.276647046908066e-113,8.60360758848564e-113
BNIP3,-22.68652,-13.224805,6.08683250107768e-114,1.239105187719385e-113
STAT3,-23.030254,-11.114873,2.3202419911670884e-117,4.809228854419056e-117
SPARC,-25.006731,-18.889849,5.165004366941139e-138,1.1251156009515092e-137
CA2,-25.178598,-14.292264,6.873222011147508e-140,1.5165431792338372e-139
SLC12A2,-26.209805,-15.492309,2.0545372016115016e-151,4.715783375510963e-151
DDIT3,-26.381672,-15.931694,2.2240258197830477e-153,5.245633312867602e-153
CYCS,-26.55354,-12.302701,2.337521018154006e-155,5.551612418115765e-155
JAM3,-26.725407,-13.807837,2.3853981316521275e-157,5.745113810035406e-157
EGR1,-27.155075,-25.531984,2.205603672755434e-162,5.505959533447871e-162
UGT8,-27.584745,-17.28838,1.6959947501480574e-167,4.32858361604952e-167
NCAM1,-27.92848,-13.651006,1.2036211303755807e-171,3.1664494352957587e-171
ATF4,-28.787817,-12.809168,3.047463054091203e-182,8.337858915993532e-182
CKB,-29.217487,-20.159216,1.1628994330960862e-187,3.233427692023264e-187
SGK1,-30.334625,-18.359415,4.0078485296600174e-202,1.1816243078825224e-201
PARK7,-31.193964,-13.126867,1.2864564239391504e-213,4.1118513737120505e-213
RDX,-31.365831,-16.123886,5.91897572492506e-216,1.9278949504041624e-215
PMP22,-31.7955,-18.661684,7.469773679156105e-222,2.4802549497780467e-221
BIN1,-32.053303,-15.697767,1.9746802579271393e-225,6.753406482110817e-225
CERS2,-32.139236,-16.044937,1.2487780741051589e-226,4.35798062595882e-226
CLU,-32.397038,-26.19926,3.021527677372739e-230,1.087749963854186e-229
JUN,-32.397038,-72.75897,3.021527677372739e-230,1.087749963854186e-229
SPP1,-32.568905,-30.955881,1.130751523181356e-232,4.2034458796524324e-232
SQSTM1,-32.740772,-18.615688,4.1085769130524594e-235,1.5788014654651023e-234
ATP6V0C,-33.256374,-20.034838,1.6510670513688776e-242,7.528865754242082e-242
PRNP,-33.256374,-18.999216,1.6510670513688776e-242,7.528865754242082e-242
LMNA,-33.342308,-23.719511,9.416632008122251e-244,4.5358987982786057e-243
LAMP1,-33.42824,-16.530003,5.3311666540884724e-245,2.7212820831317277e-244
CD9,-33.60011,-27.577644,1.6713324113896468e-247,8.79377976454245e-247
FOS,-33.60011,-63.453873,1.6713324113896468e-247,8.79377976454245e-247
CNP,-33.60011,-41.479576,1.6713324113896468e-247,8.79377976454245e-247
S100B,-33.60011,-64.25726,1.6713324113896468e-247,8.79377976454245e-247
PFN1,-33.85791,-20.895117,2.7758220720343565e-251,1.6090358451453388e-250
MBP,-34.11571,-58.771584,4.314014330113981e-255,2.732209075738855e-254
SOD1,-34.11571,-20.080387,4.314014330113981e-255,2.732209075738855e-254
APP,-34.28758,-19.624859,1.2018579231480942e-257,8.563237702430172e-257
CTSD,-34.54538,-28.942142,1.6721588890756227e-261,1.63393811446818e-260
PTGDS,-34.88912,-171.16031,1.0872133187283505e-266,3.718269550050959e-265
MIF,-34.88912,-73.806984,1.0872133187283505e-266,3.718269550050959e-265
